stop_id,stop_name,stop_code,platform_code,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding,zone_id,stop_name_stem,town_name,street_name
400605,Dickensa,05,,52.206074,20.971125,0,,1,1,Dickensa,Warszawa,Dickensa
400656,Dickensa,56,,52.206434,20.969912,0,,1,1,Dickensa,Warszawa,Dickensa
400701,Korotyńskiego,01,,52.202141,20.969024,0,,1,1,Korotyńskiego,Warszawa,Grójecka
400702,Korotyńskiego,02,,52.203134,20.969346,0,,1,1,Korotyńskiego,Warszawa,Grójecka
400703,Korotyńskiego,03,,52.20241,20.969028,0,,1,1,Korotyńskiego,Warszawa,Grójecka
400704,Korotyńskiego,04,,52.202841,20.969346,0,,1,1,Korotyńskiego,Warszawa,Grójecka
402701,CH Blue City,01,,52.212038,20.954871,0,,1,1,CH Blue City,Warszawa,Opaczewska
402702,CH Blue City,02,,52.212007,20.955585,0,,1,1,CH Blue City,Warszawa,Opaczewska
402801,Raszyńska,01,,52.219861,20.989364,0,,1,1,Raszyńska,Warszawa,Raszyńska
402802,Raszyńska,02,,52.219806,20.989858,0,,1,1,Raszyńska,Warszawa,Raszyńska
402803,Raszyńska,03,,52.219197,20.988999,0,,1,1,Raszyńska,Warszawa,Filtrowa
402804,Raszyńska,04,,52.219175,20.990438,0,,1,1,Raszyńska,Warszawa,Filtrowa
402901,Pomnik Lotnika,01,,52.215562,20.988137,0,,1,1,Pomnik Lotnika,Warszawa,Żwirki i Wigury
402902,Pomnik Lotnika,02,,52.216947,20.99031,0,,1,1,Pomnik Lotnika,Warszawa,Krzyckiego
402903,Pomnik Lotnika,03,,52.21627,20.99134,0,,1,1,Pomnik Lotnika,Warszawa,Wawelska
402904,Pomnik Lotnika,04,,52.216389,20.987326,0,,1,1,Pomnik Lotnika,Warszawa,Wawelska
402905,Pomnik Lotnika,05,,52.216349,20.992639,0,,1,1,Pomnik Lotnika,Warszawa,Wawelska
403001,Banacha - Szpital,01,,52.209624,20.987418,0,,1,1,Banacha - Szpital,Warszawa,Żwirki i Wigury
403002,Banacha - Szpital,02,,52.210978,20.988402,0,,1,1,Banacha - Szpital,Warszawa,Żwirki i Wigury
403004,Banacha - Szpital,04,,52.210504,20.986897,0,,1,1,Banacha - Szpital,Warszawa,Banacha
403101,Uniwersytet Medyczny,01,,52.204773,20.985773,0,,1,1,Uniwersytet Medyczny,Warszawa,Żwirki i Wigury
403102,Uniwersytet Medyczny,02,,52.20478,20.98633,0,,1,1,Uniwersytet Medyczny,Warszawa,Żwirki i Wigury
403201,Pruszkowska,01,,52.200788,20.984391,0,,1,1,Pruszkowska,Warszawa,Żwirki i Wigury
403202,Pruszkowska,02,,52.201602,20.985227,0,,1,1,Pruszkowska,Warszawa,Żwirki i Wigury
403204,Pruszkowska,04,,52.201483,20.983635,0,,1,1,Pruszkowska,Warszawa,Pruszkowska
404102,Spiska,02,,52.223449,20.983374,0,,1,1,Spiska,Warszawa,Al. Jerozolimskie
404201,Białobrzeska,01,,52.221786,20.978319,0,,1,1,Białobrzeska,Warszawa,Al. Jerozolimskie
404202,Białobrzeska,02,,52.221724,20.977178,0,,1,1,Białobrzeska,Warszawa,Al. Jerozolimskie
404301,Grzymały-Sokołowskiego,01,,52.219953,20.971861,0,,1,1,Grzymały-Sokołowskiego,Warszawa,Al. Jerozolimskie
404302,Grzymały-Sokołowskiego,02,,52.220265,20.971756,0,,1,1,Grzymały-Sokołowskiego,Warszawa,Al. Jerozolimskie
404303,Grzymały-Sokołowskiego,03,,52.218507,20.974148,0,,1,1,Grzymały-Sokołowskiego,Warszawa,Sokołowskiego „Grzymały”
404304,Grzymały-Sokołowskiego,04,,52.21954,20.972001,0,,1,1,Grzymały-Sokołowskiego,Warszawa,Sokołowskiego „Grzymały”
404305,Grzymały-Sokołowskiego,05,,52.21813,20.972594,0,,1,1,Grzymały-Sokołowskiego,Warszawa,Szczęśliwicka
404306,Grzymały-Sokołowskiego,06,,52.218521,20.972894,0,,1,1,Grzymały-Sokołowskiego,Warszawa,Szczęśliwicka
404371,Grzymały-Sokołowskiego,71,,52.220137,20.972359,0,,2,1,Grzymały-Sokołowskiego,Warszawa,Al. Jerozolimskie
404401,Dw. Zachodni,01,,52.218142,20.96707,0,,1,1,Dw. Zachodni,Warszawa,Al. Jerozolimskie
404452,Dw. Zachodni,52,,52.218809,20.96795,0,,1,1,Dw. Zachodni,Warszawa,Al. Jerozolimskie
404502,Rondo Zesłańców Syberyjskich,02,,52.216088,20.959279,0,,1,1,Rondo Zesłańców Syberyjskich,Warszawa,Al. Jerozolimskie
404503,Rondo Zesłańców Syberyjskich,03,,52.215701,20.962222,0,,1,1,Rondo Zesłańców Syberyjskich,Warszawa,Bitwy Warszawskiej 1920 r.
404504,Rondo Zesłańców Syberyjskich,04,,52.215981,20.962881,0,,1,1,Rondo Zesłańców Syberyjskich,Warszawa,Bitwy Warszawskiej 1920 r.
404505,Rondo Zesłańców Syberyjskich,05,,52.21681,20.963213,0,,1,1,Rondo Zesłańców Syberyjskich,Warszawa,Al. Jerozolimskie
404506,Rondo Zesłańców Syberyjskich,06,,52.217197,20.960717,0,,1,1,Rondo Zesłańców Syberyjskich,Warszawa,al. Prymasa Tysiąclecia
404571,Rondo Zesłańców Syberyjskich,71,,52.217027,20.963799,0,,1,1,Rondo Zesłańców Syberyjskich,Warszawa,Al. Jerozolimskie
404601,Śmigłowca,01,,52.210414,20.950296,0,,1,1,Śmigłowca,Warszawa,Al. Jerozolimskie
404602,Śmigłowca,02,,52.209613,20.94835,0,,1,1,Śmigłowca,Warszawa,Al. Jerozolimskie
